-------------------------------------------------------------------+--------------------+--------------------------+
| id   | name                                                              | city               | country                  |
| 3830 | Chicago O'Hare International Airport                              | Chicago            | United States            |
| 1754 | Providenciales Airport                                            | Providenciales     | Turks and Caicos Islands |
| 1761 | Gregorio Luperon International Airport                            | Puerto Plata       | Dominican Republic       |
| 2902 | Piarco International Airport                                      | Port-of-spain      | Trinidad and Tobago      |
| 1760 | Punta Cana International Airport                                  | Punta Cana         | Dominican Republic       |
| 3793 | Southwest Florida International Airport                           | Fort Myers         | United States            |
| 2890 | Luis Munoz Marin International Airport                            | San Juan           | Puerto Rico              |
| 1918 | Abel Santamaria Airport                                           | Santa Clara        | Cuba                     |
| 2899 | Princess Juliana International Airport                            | Philipsburg        | Netherlands Antilles     |
| 3646 | Tampa International Airport                                       | Tampa              | United States            |
| 2894 | Hewanorra International Airport                                   | Hewandorra         | Saint Lucia              |
| 1923 | Juan Gualberto Gomez International Airport                        | Varadero           | Cuba                     |
|   45 | Deer Lake Airport                                                 | Deer Lake          | Canada                   |
|   49 | Edmonton International Airport                                    | Edmonton           | Canada                   |
|   73 | Halifax / Stanfield International Airport                         | Halifax            | Canada                   |
|   87 | Kelowna International Airport                                     | Kelowna            | Canada                   |
|   90 | Fort McMurray Airport                                             | Fort Mcmurray      | Canada                   |
|  100 | Ottawa Macdonald-Cartier International Airport                    | Ottawa             | Canada                   |
|  111 | Quebec Jean Lesage International Airport                          | Quebec             | Canada                   |
|  117 | Greater Moncton International Airport                             | Moncton            | Canada                   |
|  120 | Regina International Airport                                      | Regina             | Canada                   |
|  121 | Thunder Bay Airport                                               | Thunder Bay        | Canada                   |
|  146 | Montreal / Pierre Elliott Trudeau International Airport           | Montreal           | Canada                   |
|  156 | Vancouver International Airport                                   | Vancouver          | Canada                   |
|  160 | Winnipeg / James Armstrong Richardson International Airport       | Winnipeg           | Canada                   |
|  166 | Saskatoon John G. Diefenbaker International Airport               | Saskatoon          | Canada                   |
|  178 | Calgary International Airport                                     | Calgary            | Canada                   |
|  182 | Charlottetown Airport                                             | Charlottetown      | Canada                   |
|  184 | Victoria International Airport                                    | Victoria           | Canada                   |
|  189 | St. John's International Airport                                  | St. John's         | Canada                   |
|  302 | Brussels Airport                                                  | Brussels           | Belgium                  |
| 3876 | Charlotte Douglas International Airport                           | Charlotte          | United States            |
| 3520 | Ronald Reagan Washington National Airport                         | Washington         | United States            |
| 3670 | Dallas Fort Worth International Airport                           | Dallas-Fort Worth  | United States            |
| 3797 | John F Kennedy International Airport                              | New York           | United States            |
| 3877 | McCarran International Airport                                    | Las Vegas          | United States            |
| 3484 | Los Angeles International Airport                                 | Los Angeles        | United States            |
| 3697 | La Guardia Airport                                                | New York           | United States            |
|  507 | London Heathrow Airport                                           | London             | United Kingdom           |
| 3878 | Orlando International Airport                                     | Orlando            | United States            |
| 3576 | Miami International Airport                                       | Miami              | United States            |
| 3830 | Chicago O'Hare International Airport                              | Chicago            | United States            |
| 3752 | Philadelphia International Airport                                | Philadelphia       | United States            |
| 2874 | V.C. Bird International Airport                                   | Antigua            | Antigua and Barbuda      |
| 3682 | Hartsfield Jackson Atlanta International Airport                  | Atlanta            | United States            |
| 2895 | Queen Beatrix International Airport                               | Oranjestad         | Aruba                    |
| 2179 | Abu Dhabi International Airport                                   | Abu Dhabi          | United Arab Emirates     |
| 5810 | Samaná El Catey International Airport                             | Samana             | Dominican Republic       |
| 1218 | Barcelona International Airport                                   | Barcelona          | Spain                    |
| 4069 | L.F. Wade International International Airport                     | Bermuda            | Bermuda                  |
| 3825 | Bradley International Airport                                     | Windsor Locks      | United States            |
| 2875 | Sir Grantley Adams International Airport                          | Bridgetown         | Barbados                 |
| 3690 | Nashville International Airport                                   | Nashville          | United States            |
| 2709 | El Dorado International Airport                                   | Bogota             | Colombia                 |
| 3448 | General Edward Lawrence Logan International Airport               | Boston             | United States            |
| 3849 | Baltimore/Washington International Thurgood Marshall Airport      | Baltimore          | United States            |
| 1901 | Jardines Del Rey Airport                                          | Cunagua            | Cuba                     |
| 1382 | Charles de Gaulle International Airport                           | Paris              | France                   |
| 3486 | Cleveland Hopkins International Airport                           | Cleveland          | United States            |
| 3876 | Charlotte Douglas International Airport                           | Charlotte          | United States            |
| 3759 | John Glenn Columbus International Airport                         | Columbus           | United States            |
|  609 | Copenhagen Kastrup Airport                                        | Copenhagen         | Denmark                  |
| 1852 | Cancún International Airport                                      | Cancun             | Mexico                   |
| 3488 | Cincinnati Northern Kentucky International Airport                | Cincinnati         | United States            |
| 3520 | Ronald Reagan Washington National Airport                         | Washington         | United States            |
| 3751 | Denver International Airport                                      | Denver             | United States            |
| 3670 | Dallas Fort Worth International Airport                           | Dallas-Fort Worth  | United States            |
| 3645 | Detroit Metropolitan Wayne County Airport                         | Detroit            | United States            |
|  599 | Dublin Airport                                                    | Dublin             | Ireland                  |
| 3494 | Newark Liberty International Airport                              | Newark             | United States            |
| 1555 | Leonardo da Vinci–Fiumicino Airport                               | Rome               | Italy                    |
| 3533 | Fort Lauderdale Hollywood International Airport                   | Fort Lauderdale    | United States            |
|  340 | Frankfurt am Main Airport                                         | Frankfurt          | Germany                  |
| 1926 | Owen Roberts International Airport                                | Georgetown         | Cayman Islands           |
| 1941 | Exuma International Airport                                       | Great Exuma        | Bahamas                  |
| 2882 | Point Salines International Airport                               | Point Salines      | Grenada                  |
| 2564 | Guarulhos - Governador André Franco Montoro International Airport | Sao Paulo          | Brazil                   |
| 1909 | José Martí International Airport                                  | Havana             | Cuba                     |
| 3077 | Hong Kong International Airport                                   | Hong Kong          | Hong Kong                |
| 1910 | Frank Pais International Airport                                  | Holguin            | Cuba                     |
| 3714 | Washington Dulles International Airport                           | Washington         | United States            |
| 3550 | George Bush Intercontinental Houston Airport                      | Houston            | United States            |
| 3585 | Indianapolis International Airport                                | Indianapolis       | United States            |
| 1701 | Atatürk International Airport                                     | Istanbul           | Turkey                   |
| 3797 | John F Kennedy International Airport                              | New York           | United States            |
| 1779 | Norman Manley International Airport                               | Kingston           | Jamaica                  |
| 3877 | McCarran International Airport                                    | Las Vegas          | United States            |
| 3484 | Los Angeles International Airport                                 | Los Angeles        | United States            |
| 3697 | La Guardia Airport                                                | New York           | United States            |
|  507 | London Heathrow Airport                                           | London             | United Kingdom           |
| 2789 | Jorge Chávez International Airport                                | Lima               | Peru                     |
| 1881 | Daniel Oduber Quiros International Airport                        | Liberia            | Costa Rica               |
| 1780 | Sangster International Airport                                    | Montego Bay        | Jamaica                  |
| 3458 | Kansas City International Airport                                 | Kansas City        | United States            |
| 3878 | Orlando International Airport                                     | Orlando            | United States            |
| 3542 | Harrisburg International Airport                                  | Harrisburg         | United States            |
| 1824 | Licenciado Benito Juarez International Airport                    | Mexico City        | Mexico                   |
| 3576 | Miami International Airport                                       | Miami              | United States            |
| 3717 | General Mitchell International Airport                            | Milwaukee          | United States            |
| 3858 | Minneapolis-St Paul International/Wold-Chamberlain Airport        | Minneapolis        | United States            |
| 3861 | Louis Armstrong New Orleans International Airport                 | New Orleans        | United States            |
|  346 | Munich Airport                                                    | Munich             | Germany                  |
| 1953 | Lynden Pindling International Airport                             | Nassau             | Bahamas                  |
| 2279 | Narita International Airport                                      | Tokyo              | Japan                    |
